region,delta_post_minus_pre,ai_adoption_pct,content_tb,revenue_up_pct,trust_pct
Australia,,61.52291666666667,51.585,51.07583333333333,64.05833333333334
Brazil,,,,,
Canada,,51.270900000000005,51.995799999999996,43.089600000000004,68.42519999999999
China,,49.99964285714285,55.83956349206349,43.34027777777778,57.39103174603175
France,,56.07472222222222,43.805277777777775,40.852222222222224,59.915888888888894
Germany,,47.9394,44.8426,44.957499999999996,66.0336
India,,50.75177777777778,49.60241666666667,40.12354166666667,57.71068055555556
Russia,,,,,
United Kingdom,,,,,
United States,,,,,
